PN ID	GSC-II ID	RA	DEC	l	b	Epoch	dist	PA	Class
He 2-143	S211121119075	16:00:59.125	-55:05:39.74	327.850	-1.670	1997.321	4.14	79.63	PHOT
He 2-145		16:08:58.902	-51:01:57.74	331.450	0.562	0.000	6.47	132.23	GEO
He 2-146	S211121124040	16:10:41.245	-54:57:32.86	328.976	-2.498	1997.321	2.68	288.74	PHOT
He 2-147	S211130368698	16:14:01.045	-56:59:27.78	327.921	-4.297	1997.321	2.03	138.28	ST
He 2-149	S211123036559	16:14:24.266	-54:47:38.82	329.479	-2.744	1997.321	3.39	101.46	ST
He 2-15	S13332101290	08:53:30.701	-40:03:42.08	261.616	3.005	1977.059	7.71	349.62	PHOT
He 2-151	S2111112751	16:15:42.269	-59:54:00.96	326.054	-6.546	1997.318	2.94	223.52	PHOT
He 2-152	S2302112653	16:15:20.031	-49:13:20.76	333.430	1.187	1997.321	5.28	151.29	PHOT
He 2-153		16:17:14.425	-53:32:08.39	330.652	-2.125	0.000	6.14	326.01	GEO
He 2-155	S2303330101	16:19:23.101	-42:15:35.98	338.806	5.682	1997.244	0.32	93.55	PHOT
He 2-157	S211120179103	16:22:14.264	-53:40:54.09	331.077	-2.750	1997.326	10.11	260.84	PHOT
He 2-158	S211111020314	16:23:30.605	-58:19:22.64	327.888	-6.137	1997.318	1.60	155.23	PHOT
He 2-159	S211123132680	16:24:21.417	-54:36:02.82	330.640	-3.616	1997.326	2.54	259.17	PHOT
He 2-161	S211120133274	16:24:37.786	-53:22:34.14	331.544	-2.788	1997.326	5.07	269.38	PHOT
He 2-162	S211120227423	16:27:50.914	-54:01:28.36	331.410	-3.581	1997.326	6.22	80.16	PHOT
He 2-163		16:29:31.333	-59:09:25.08	327.824	-7.277	0.000	8.06	290.26	GEO
He 2-164		16:29:53.255	-53:23:15.37	332.080	-3.361	0.000	11.29	357.05	GEO
He 2-165		16:30:00.057	-54:09:28.00	331.531	-3.902	0.000	9.66	205.71	GEO
He 2-169		16:34:13.328	-49:21:13.20	335.494	-1.103	0.000	16.57	114.61	PHOT
He 2-170	S211120238829	16:35:21.170	-53:50:11.11	332.303	-4.260	1997.326	3.54	53.20	ST
He 2-171	S23012221028	16:34:04.240	-35:05:26.93	346.028	8.551	1991.279	1.16	12.20	PHOT
He 2-175	S230122152985	16:39:28.112	-36:34:16.41	345.645	6.750	1997.326	5.48	178.99	PHOT
He 2-18	S13020031522	09:08:40.050	-53:19:13.91	273.297	-3.787	1998.458	8.69	46.22	PHOT
He 2-182	S2112213316	16:54:35.167	-64:14:28.43	325.826	-12.821	1989.390	3.05	159.65	ST
He 2-185	S2132023206	17:01:17.254	-70:06:03.35	321.308	-16.780	1991.650	3.17	219.42	ST
He 2-186	S21101021155	16:59:36.064	-51:42:06.46	336.310	-5.696	1997.244	3.70	285.05	ST
He 2-187	S23002321659	17:01:36.976	-50:22:57.49	337.553	-5.140	1997.244	5.34	82.55	PHOT
He 2-207		17:19:32.974	-45:53:16.70	342.966	-4.911	0.000	8.46	322.41	GEO
He 2-21	S111100354922	09:13:52.823	-55:28:16.80	275.393	-4.699	1998.458	6.63	227.28	PHOT
He 2-248	S211001114383	17:36:06.935	-49:25:45.26	341.510	-9.180	1998.458	11.50	33.74	ST
He 2-25	S11110028	09:18:01.308	-54:39:29.01	275.217	-3.708	1998.458	0.29	107.02	PHOT
